Entry,Entry name,Protein names,Gene names,Organism,Length,Gene ontology IDs,Taxonomic lineage (PHYLUM)
A0A671WKS2,A0A671WKS2_SPAAU,Tektin,tekt3,Sparus aurata (Gilthead sea bream),483,GO:0015630; GO:0031514; GO:0060271; GO:0060294,Chordata
A0A671V8K6,A0A671V8K6_SPAAU,Family with sequence similarity 189 member A1,fam189a1,Sparus aurata (Gilthead sea bream),795,GO:0016021,Chordata
A0A4V3SH84,A0A4V3SH84_OPIFE,60S ribosomal protein L13a,CRM22_000498,Opisthorchis felineus,202,GO:0003735; GO:0006412; GO:0015934,Platyhelminthes
A0A7I6SAZ8,A0A7I6SAZ8_ECOLX,Putative amino-acid metabolite efflux pump,eamA WP4S18E08_23120,Escherichia coli,299,,Proteobacteria
A0A671YBV3,A0A671YBV3_SPAAU,Supervillin a,,Sparus aurata (Gilthead sea bream),2142,GO:0007010; GO:0051015,Chordata
A0A0N5AMV8,A0A0N5AMV8_9BILA,Fructose-bisphosphate aldolase (EC 4.1.2.13),,Syphacia muris,376,GO:0004332; GO:0006096,Nematoda (roundworms)
A0A183UIJ9,A0A183UIJ9_TOXCA,Uncharacterized protein,TCNE_LOCUS8319,Toxocara canis (Canine roundworm),452,GO:0003723; GO:0005634; GO:0006396; GO:1990904,Nematoda (roundworms)
A0A0M3JXB3,A0A0M3JXB3_ANISI,Cysteine desulfurase; mitochondrial (EC 2.8.1.7),ASIM_LOCUS12445,Anisakis simplex (Herring worm),406,GO:0030170; GO:0031071; GO:0044571; GO:0046872; GO:0051536,Nematoda (roundworms)
A0A671UM43,A0A671UM43_SPAAU,RAD54 homolog B,rad54b,Sparus aurata (Gilthead sea bream),940,GO:0005524; GO:0016787; GO:0070615,Chordata
F1KVK8,F1KVK8_ASCSU,Chaperonin Hsp-60,,Ascaris suum (Pig roundworm) (Ascaris lumbricoides),568,GO:0005524; GO:0016887; GO:0042026,Nematoda (roundworms)
A0A671USP3,A0A671USP3_SPAAU,Low density lipoprotein receptor-related protein 2b,,Sparus aurata (Gilthead sea bream),4265,GO:0005509; GO:0006897; GO:0016021,Chordata
A0A3B4YEB4,A0A3B4YEB4_SERLL,Striated muscle preferentially expressed protein kinase-like,,Seriola lalandi dorsalis,3630,GO:0004674; GO:0005524; GO:0005886; GO:0016021,Chordata
A5YN52,A5YN52_9CILI,Tubulin alpha chain (Fragment),,Trichodina heterodentata,395,GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017,Ciliophora
A0A6G0HKV9,A0A6G0HKV9_LARCR,Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase),D5F01_LYC21729,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),584,GO:0000139; GO:0004653; GO:0006486; GO:0016021; GO:0030246,Chordata
A0A671Z0Y0,A0A671Z0Y0_SPAAU,Zonadhesin-like,LOC115587560,Sparus aurata (Gilthead sea bream),808,,Chordata
A0A671XYD2,A0A671XYD2_SPAAU,Transient receptor potential cation channel subfamily A member 1,trpa1,Sparus aurata (Gilthead sea bream),1119,GO:0005216; GO:0016021,Chordata
A0A6G0HVI1,A0A6G0HVI1_LARCR,Centriolar coiled-coil protein of 110 kDa,D5F01_LYC18591,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),838,GO:0005814; GO:0007099; GO:0032465,Chordata
A0A484CHL1,A0A484CHL1_PERFV,Uncharacterized protein,EPR50_G00157480,Perca flavescens (American yellow perch) (Morone flavescens),858,GO:0005814; GO:0007099; GO:0032465,Chordata
A0A6M1HLX2,A0A6M1HLX2_ECOLX,Ketose-bisphosphate aldolase,G5632_13365,Escherichia coli,278,GO:0005975; GO:0008270; GO:0016832,Proteobacteria
A0A671W830,A0A671W830_SPAAU,Tumor necrosis factor receptor superfamily member 1B-like,LOC115583416,Sparus aurata (Gilthead sea bream),495,GO:0004888; GO:0006915; GO:0006955; GO:0007165; GO:0016021,Chordata
A0A671VHT6,A0A671VHT6_SPAAU,Mesoderm induction early response protein 2-like,LOC115591787,Sparus aurata (Gilthead sea bream),352,GO:0005634,Chordata
W1YXZ0,W1YXZ0_9ZZZZ,Outer membrane protein assembly factor BamE,Q604_UNBC00010G0001,human gut metagenome,113,GO:0009279,
A0A671UG03,A0A671UG03_SPAAU,Calcium/calmodulin-dependent protein kinase type 1D-like,LOC115584352,Sparus aurata (Gilthead sea bream),501,GO:0004672; GO:0005524,Chordata
A0A671U3Q1,A0A671U3Q1_SPAAU,Dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109),LOC115586779,Sparus aurata (Gilthead sea bream),844,GO:0004169; GO:0005783; GO:0016021,Chordata
A0A671YB02,A0A671YB02_SPAAU,Methylcytosine dioxygenase TET (EC 1.14.11.n2),,Sparus aurata (Gilthead sea bream),2040,GO:0003677; GO:0005634; GO:0006211; GO:0008270; GO:0070579; GO:0080111,Chordata
A0A0M3I0E4,A0A0M3I0E4_ASCLU,Uncharacterized protein,,Ascaris lumbricoides (Giant roundworm),260,GO:0000463; GO:0003735; GO:0022625,Nematoda (roundworms)
H4UPD4,H4UPD4_ECOLX,2;4-dienoyl-CoA reductase (EC 1.3.1.34),fadH ECDEC6A_3825,Escherichia coli DEC6A,672,GO:0008670; GO:0010181,Proteobacteria
A0A671WKK8,A0A671WKK8_SPAAU,Pleckstrin homology and RhoGEF domain containing G6,plekhg6,Sparus aurata (Gilthead sea bream),1080,GO:0005085,Chordata
A0A671TV57,A0A671TV57_SPAAU,TEPSIN adaptor related protein complex 4 accessory protein,tepsin,Sparus aurata (Gilthead sea bream),603,GO:0005794; GO:0031410,Chordata
A0A671YSF1,A0A671YSF1_SPAAU,SPARC-like protein 1,LOC115596248,Sparus aurata (Gilthead sea bream),262,GO:0005509; GO:0005576,Chordata
A0A671YVV2,A0A671YVV2_SPAAU,Delta-like protein,DLL4,Sparus aurata (Gilthead sea bream),678,GO:0005509; GO:0007219; GO:0007275; GO:0016021,Chordata
A0A671VLD2,A0A671VLD2_SPAAU,IQ motif containing H,iqch,Sparus aurata (Gilthead sea bream),1031,,Chordata
A0A3B3SG28,A0A3B3SG28_9TELE,Uncharacterized protein,,Paramormyrops kingsleyae,506,,Chordata
A0A447X987,A0A447X987_ECOLX,Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.171) (EC 2.1.1.172),rsmC_1 NCTC9044_02928,Escherichia coli,248,GO:0003676; GO:0052913; GO:0052914,Proteobacteria
A0A377K1M0,A0A377K1M0_ECOLX,Formate hydrogenlyase subunit 3 (EC 1.-.-.-),hycC_2 NCTC8450_05720 NCTC9075_01712,Escherichia coli,244,GO:0016021; GO:0016491; GO:0016829,Proteobacteria
I6DJK1,I6DJK1_SHIBO,dTDP-4-amino-4;6-dideoxygalactose transaminase (EC 2.6.1.59),wecE SB444474_4333,Shigella boydii 4444-74,376,GO:0009246; GO:0019180; GO:0030170,Proteobacteria
A0A0B2UTM8,A0A0B2UTM8_TOXCA,Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),G3PD Tcan_17563,Toxocara canis (Canine roundworm),406,GO:0004365; GO:0006006; GO:0006096; GO:0050661; GO:0051287,Nematoda (roundworms)
A0A6J2QLM0,A0A6J2QLM0_COTGO,kinesin-like protein KIN-4B,LOC115015141,Cottoperca gobio (Frogmouth) (Aphritis gobio),377,,Chordata
A0A671W7A9,A0A671W7A9_SPAAU,Pachytene checkpoint protein 2 homolog,trip13,Sparus aurata (Gilthead sea bream),410,GO:0005524; GO:0007283; GO:0016887; GO:0048477; GO:0051321,Chordata
A0A671V6N6,A0A671V6N6_SPAAU,CG-1 domain-containing protein,,Sparus aurata (Gilthead sea bream),1675,GO:0003677; GO:0006357,Chordata
A0A671V306,A0A671V306_SPAAU,CG-1 domain-containing protein,,Sparus aurata (Gilthead sea bream),1682,GO:0003677; GO:0006357,Chordata
A0A671W3P6,A0A671W3P6_SPAAU,Zinc finger protein 260-like,LOC115575997,Sparus aurata (Gilthead sea bream),517,,Chordata
A0A671Y4D0,A0A671Y4D0_SPAAU,Adenylate cyclase type 1 (EC 4.6.1.1),LOC115572814,Sparus aurata (Gilthead sea bream),1167,GO:0004016; GO:0005524; GO:0005886; GO:0006171; GO:0016021; GO:0035556; GO:0046872,Chordata
F1LC76,F1LC76_ASCSU,Trafficking protein particle complex subunit 5,,Ascaris suum (Pig roundworm) (Ascaris lumbricoides),190,GO:0005783; GO:0005794; GO:0030008; GO:0048193,Nematoda (roundworms)
A0A671WJQ1,A0A671WJQ1_SPAAU,Transcription intermediary factor 1-beta-like,LOC115578099,Sparus aurata (Gilthead sea bream),951,GO:0008270,Chordata
A0A4U5VGV0,A0A4U5VGV0_COLLU,Dynein heavy chain 5; axonemal,D9C73_021440,Collichthys lucidus (Big head croaker) (Sciaena lucida),3193,GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0008569; GO:0030286,Chordata
A0A671U718,A0A671U718_SPAAU,Glycerol-3-phosphate acyltransferase 2; mitochondrial-like,LOC115581861,Sparus aurata (Gilthead sea bream),797,GO:0008374; GO:0044255,Chordata
A0A671TRN4,A0A671TRN4_SPAAU,Nucleoporin 133,nup133,Sparus aurata (Gilthead sea bream),1138,GO:0005643; GO:0017056,Chordata
A0A671U036,A0A671U036_SPAAU,Ciliogenesis associated TTC17 interacting protein,catip,Sparus aurata (Gilthead sea bream),358,,Chordata
A0A3P7GLC3,A0A3P7GLC3_TOXCA,Uncharacterized protein,TCNE_LOCUS14842,Toxocara canis (Canine roundworm),392,GO:0008234,Nematoda (roundworms)
A0A671YX00,A0A671YX00_SPAAU,Fibulin-1,LOC115587152,Sparus aurata (Gilthead sea bream),693,GO:0005509; GO:0005576; GO:0016504; GO:0030198,Chordata
A0A671YYH7,A0A671YYH7_SPAAU,Fibulin-1,LOC115587152,Sparus aurata (Gilthead sea bream),678,GO:0005509; GO:0005576; GO:0016504; GO:0030198,Chordata
A0A671XZI6,A0A671XZI6_SPAAU,Abhydrolase domain containing 3,abhd3,Sparus aurata (Gilthead sea bream),412,GO:0016787,Chordata
A0A671UP05,A0A671UP05_SPAAU,Low-density lipoprotein receptor-like,LOC115591623,Sparus aurata (Gilthead sea bream),671,GO:0005509; GO:0006897; GO:0016021,Chordata
A0A671X6Q3,A0A671X6Q3_SPAAU,Protein Wnt,wnt16,Sparus aurata (Gilthead sea bream),355,GO:0005102; GO:0005576; GO:0007275; GO:0016055,Chordata
A0A3B5A850,A0A3B5A850_9TELE,Integrator complex subunit 7,,Stegastes partitus (bicolor damselfish),960,GO:0002088; GO:0016180; GO:0032039,Chordata
A0A671XG12,A0A671XG12_SPAAU,Histone deacetylase 6,hdac6,Sparus aurata (Gilthead sea bream),1111,GO:0005634; GO:0008270; GO:0016787,Chordata
A0A671XMH6,A0A671XMH6_SPAAU,Histone deacetylase 6,hdac6,Sparus aurata (Gilthead sea bream),1100,GO:0005634; GO:0008270; GO:0016787,Chordata
A0A671UCX9,A0A671UCX9_SPAAU,AT-hook DNA binding motif containing 1,ahdc1,Sparus aurata (Gilthead sea bream),1538,,Chordata
A0A5D1FK18,A0A5D1FK18_ECOLX,Ethanolamine utilization protein,DJ503_11625,Escherichia coli,467,GO:0016829; GO:0046336,Proteobacteria
A0A498SBT2,A0A498SBT2_ACAVI,Rab GDP dissociation inhibitor,NAV_LOCUS4090,Acanthocheilonema viteae (Filarial nematode worm) (Dipetalonema viteae),429,GO:0005093; GO:0005096; GO:0005737; GO:0007264; GO:0015031; GO:0043547,Nematoda (roundworms)
A0A771JAD6,A0A771JAD6_ECOLX,Pyridine nucleotide-disulfide oxidoreductase,HGS42_20165,Escherichia coli,556,GO:0016668; GO:0045454; GO:0050660,Proteobacteria
A0A671X0J8,A0A671X0J8_SPAAU,NOP9 nucleolar protein,nop9,Sparus aurata (Gilthead sea bream),616,GO:0003723,Chordata
A0A6A5FKU2,A0A6A5FKU2_PERFL,TTF-type domain-containing protein,PFLUV_G00049730,Perca fluviatilis (European perch),847,GO:0046983,Chordata
A0A1V3VXE8,A0A1V3VXE8_ECOLX,Fimbrial protein,BMT91_16440 WP4S18E08_23370,Escherichia coli,178,GO:0003700; GO:0007155; GO:0009289; GO:0043565,Proteobacteria
A0A671W0T9,A0A671W0T9_SPAAU,tRNA-dihydrouridine(47) synthase [NAD(P)(+)] (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3),,Sparus aurata (Gilthead sea bream),757,GO:0017150; GO:0046872; GO:0050660,Chordata
A0A0F8CT78,A0A0F8CT78_LARCR,Trinucleotide repeat-containing 6C protein,EH28_10086,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),1943,GO:0003676; GO:0035278,Chordata
A0A3Q1CVG6,A0A3Q1CVG6_AMPOC,Trinucleotide repeat-containing gene 6C protein-like,,Amphiprion ocellaris (Clown anemonefish),1737,GO:0003676; GO:0035278,Chordata
A0A671V9E1,A0A671V9E1_SPAAU,Trinucleotide repeat containing adaptor 6C2,,Sparus aurata (Gilthead sea bream),1647,GO:0003676,Chordata
A0A6G0ISS6,A0A6G0ISS6_LARCR,Midnolin Midbrain nucleolar protein,D5F01_LYC07285,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),573,GO:0005634,Chordata
A0A671UA35,A0A671UA35_SPAAU,G-protein coupled receptor 183-like,LOC115588320,Sparus aurata (Gilthead sea bream),342,GO:0004930; GO:0016021,Chordata
A0A671V5Q0,A0A671V5Q0_SPAAU,EGF domain specific O-linked N-acetylglucosamine transferase,eogt,Sparus aurata (Gilthead sea bream),501,GO:0016757,Chordata
A0A671V0H4,A0A671V0H4_SPAAU,EGF domain specific O-linked N-acetylglucosamine transferase,eogt,Sparus aurata (Gilthead sea bream),525,GO:0016757,Chordata
A0A5E9STW5,A0A5E9STW5_ECOLX,Lipopolysaccharide 1;2-glucosyltransferase,E2127_26600,Escherichia coli,303,GO:0008918,Proteobacteria
A0A6P7I249,A0A6P7I249_9TELE,disintegrin and metalloproteinase domain-containing protein 12-like isoform X5,LOC114431320,Parambassis ranga (Indian glassy fish),895,GO:0004222; GO:0007229; GO:0016021,Chordata
A0A671VM05,A0A671VM05_SPAAU,Uncharacterized LOC115585047,LOC115585047,Sparus aurata (Gilthead sea bream),508,GO:0005886; GO:0016021; GO:0035556; GO:0045121; GO:0050852; GO:0050853; GO:0050868,Chordata
A0A6P7N4N6,A0A6P7N4N6_BETSP,basic salivary proline-rich protein 4-like isoform X3,LOC114859122,Betta splendens (Siamese fighting fish),431,GO:0005886; GO:0016021; GO:0035556; GO:0045121; GO:0050868,Chordata
A0A671WCL4,A0A671WCL4_SPAAU,Chromodomain helicase DNA binding protein 1 like,chd1l,Sparus aurata (Gilthead sea bream),1015,GO:0003678; GO:0005524; GO:0006281; GO:0006338; GO:0016787; GO:0070615,Chordata
A0A6G0IHK0,A0A6G0IHK0_LARCR,Uncharacterized protein,D5F01_LYC10373,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),152,,Chordata
A0A671UYJ3,A0A671UYJ3_SPAAU,Si:dkey-6i22.5,,Sparus aurata (Gilthead sea bream),241,GO:0000818; GO:0007049; GO:0051301,Chordata
L3QEL0,L3QEL0_ECOLX,Phage kinase inhibitor,A1UM_00760,Escherichia coli KTE75,183,GO:0016301,Proteobacteria
A0A671Y5A4,A0A671Y5A4_SPAAU,Arrestin_C domain-containing protein,,Sparus aurata (Gilthead sea bream),462,,Chordata
A0A0B2VVS7,A0A0B2VVS7_TOXCA,Cathepsin D,ctsd Tcan_02977,Toxocara canis (Canine roundworm),792,GO:0004190; GO:0004983; GO:0016021,Nematoda (roundworms)
A0A4W6DPG5,A0A4W6DPG5_LATCA,Progesterone immunomodulatory binding factor 1,pibf1,Lates calcarifer (Barramundi) (Holocentrus calcarifer),693,,Chordata
A0A671TSN2,A0A671TSN2_SPAAU,Progesterone immunomodulatory binding factor 1,pibf1,Sparus aurata (Gilthead sea bream),765,,Chordata
A0A3Q1CX33,A0A3Q1CX33_AMPOC,Arf-GAP with coiled-coil; ANK repeat and PH domain-containing protein 3-like,,Amphiprion ocellaris (Clown anemonefish),842,GO:0005096; GO:0043547; GO:0046872,Chordata
A0A3Q1BTY1,A0A3Q1BTY1_AMPOC,Arf-GAP with coiled-coil; ANK repeat and PH domain-containing protein 3-like,,Amphiprion ocellaris (Clown anemonefish),613,GO:0005096; GO:0043547; GO:0046872,Chordata
A0A5N8HMK5,A0A5N8HMK5_ECOLX,VOC family protein (Fragment),FVB16_28495,Escherichia coli,243,,Proteobacteria
A0A656BMI6,A0A656BMI6_SHISO,Uncharacterized protein,ERS009867_00254,Shigella sonnei,122,,Proteobacteria
A0A671Z1P5,A0A671Z1P5_SPAAU,Nucleoside diphosphate kinase B,LOC115587574,Sparus aurata (Gilthead sea bream),652,GO:0001726; GO:0004550; GO:0005634; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0007049; GO:0030027,Chordata
A0A7I6SDN8,A0A7I6SDN8_ECOLX,Gln-synt_C domain-containing protein,WP4S18E08_25050,Escherichia coli,269,,Proteobacteria
A0A671X1S6,A0A671X1S6_SPAAU,Uncharacterized LOC115584796,LOC115584796,Sparus aurata (Gilthead sea bream),223,GO:0007165; GO:0042981,Chordata
A0A6C9QGX0,A0A6C9QGX0_ECOLX,ATP-grasp domain-containing protein (Fragment),GKE65_22950,Escherichia coli,231,GO:0005524; GO:0046872,Proteobacteria
A0A671Z059,A0A671Z059_SPAAU,Non-homologous end joining factor 1,nhej1,Sparus aurata (Gilthead sea bream),317,GO:0005634; GO:0006302,Chordata
A0A4U5UHA6,A0A4U5UHA6_COLLU,Zinc finger protein,D9C73_008207,Collichthys lucidus (Big head croaker) (Sciaena lucida),385,GO:0006355; GO:0030097; GO:0051569,Chordata
A0A7A2RF92,A0A7A2RF92_ECOLX,Alpha/beta hydrolase (Fragment),HJ791_005083,Escherichia coli,256,GO:0016787,Proteobacteria
A0A4W6D9Y4,A0A4W6D9Y4_LATCA,Si:ch1073-90m23.1,,Lates calcarifer (Barramundi) (Holocentrus calcarifer),423,GO:0005096; GO:0043547; GO:0051056,Chordata
A0A3B4YPT6,A0A3B4YPT6_SERLL,Rap1 GTPase-activating protein 1-like,,Seriola lalandi dorsalis,564,GO:0005096; GO:0043547; GO:0051056,Chordata
A0A0F8B4W9,A0A0F8B4W9_LARCR,Rap1 GTPase-activating protein 2,EH28_04852,Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea),525,GO:0005096; GO:0043547; GO:0051056,Chordata
A0A671XYE0,A0A671XYE0_SPAAU,Cadherin-10-like,CDH10,Sparus aurata (Gilthead sea bream),779,GO:0005509; GO:0005886; GO:0007156; GO:0016021,Chordata
A0A671UI44,A0A671UI44_SPAAU,Interleukin-20-like,LOC115582526,Sparus aurata (Gilthead sea bream),170,GO:0005576,Chordata
A0A4W6FRZ0,A0A4W6FRZ0_LATCA,PHD finger protein 6,,Lates calcarifer (Barramundi) (Holocentrus calcarifer),384,GO:0046872,Chordata
A0A6D0I771,A0A6D0I771_ECOLX,Mechanosensitive ion channel (Fragment),GQA06_10200,Escherichia coli,335,GO:0005886; GO:0016021; GO:0055085,Proteobacteria
A0A671X5X2,A0A671X5X2_SPAAU,Rho guanine nucleotide exchange factor 33,arhgef33,Sparus aurata (Gilthead sea bream),834,GO:0005085,Chordata
A0A671U373,A0A671U373_SPAAU,Sentrin-specific protease 1-like,LOC115584698,Sparus aurata (Gilthead sea bream),722,GO:0008234,Chordata
A0A6P6PN19,A0A6P6PN19_CARAU,uncharacterized protein LOC113105295,LOC113105295,Carassius auratus (Goldfish),739,,Chordata
A0A671XKY2,A0A671XKY2_SPAAU,Protein HID1-like,HID1,Sparus aurata (Gilthead sea bream),806,,Chordata
A0A671VDE1,A0A671VDE1_SPAAU,Pappalysin 1,pappa,Sparus aurata (Gilthead sea bream),1580,GO:0004222,Chordata
E6ZIQ0,E6ZIQ0_DICLA,MCM_lid domain-containing protein,DLA_XVIII01920,Dicentrarchus labrax (European seabass) (Morone labrax),680,GO:0003677; GO:0005524; GO:0032508,Chordata
A0A671TK84,A0A671TK84_SPAAU,Dynein; axonemal; heavy chain 1,,Sparus aurata (Gilthead sea bream),3997,GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286,Chordata
A0A671WVJ7,A0A671WVJ7_SPAAU,Receptor protein-tyrosine kinase (EC 2.7.10.1),LOC115585569,Sparus aurata (Gilthead sea bream),1449,GO:0004714; GO:0005524; GO:0007169; GO:0016021,Chordata
A0A671XET8,A0A671XET8_SPAAU,Receptor protein-tyrosine kinase (EC 2.7.10.1),egfr,Sparus aurata (Gilthead sea bream),1208,GO:0004714; GO:0005524; GO:0007169; GO:0016021,Chordata
F1LHX7,F1LHX7_ASCSU,ATPase protein 9 (ATPase subunit c) (Fragment),,Ascaris suum (Pig roundworm) (Ascaris lumbricoides),115,GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0045263,Nematoda (roundworms)
A0A671UJI6,A0A671UJI6_SPAAU,Zinc finger protein 485-like,LOC115595446,Sparus aurata (Gilthead sea bream),572,,Chordata
V2RAL0,V2RAL0_ECOLX,Deleted.,,,,,
A0A671Z005,A0A671Z005_SPAAU,NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase),naxe AIBP APOA1BP,Sparus aurata (Gilthead sea bream),283,GO:0000166; GO:0005576; GO:0005739; GO:0046872; GO:0052856; GO:0052857,Chordata
A0A2Z4LZA0,A0A2Z4LZA0_SPAAU,Abhydrolase domain containing 4 (Abhydrolase domain-containing protein 4),abhd4,Sparus aurata (Gilthead sea bream),368,GO:0016787,Chordata
A0A671VJR7,A0A671VJR7_SPAAU,PAX3 and PAX7 binding protein 1,paxbp1,Sparus aurata (Gilthead sea bream),919,GO:0000398; GO:0003677; GO:0005634,Chordata
A0A183UGG5,A0A183UGG5_TOXCA,Phosphoenolpyruvate carboxykinase (GTP) (EC 4.1.1.32),TCNE_LOCUS7585,Toxocara canis (Canine roundworm),708,GO:0004613; GO:0005525; GO:0006094; GO:0046872,Nematoda (roundworms)
A0A671XHX9,A0A671XHX9_SPAAU,Annexin,anxa3,Sparus aurata (Gilthead sea bream),352,GO:0004859; GO:0005509; GO:0005544,Chordata
A0A671UJC6,A0A671UJC6_SPAAU,BAI1 associated protein 3,baiap3,Sparus aurata (Gilthead sea bream),1175,GO:0006887,Chordata
A0A3P7GMX4,A0A3P7GMX4_TOXCA,Uncharacterized protein,TCNE_LOCUS18760,Toxocara canis (Canine roundworm),275,GO:0003676; GO:0008270,Nematoda (roundworms)
