Entry,Entry name,Protein names,Gene names,Organism,Length,Gene ontology IDs,Taxonomic lineage (PHYLUM)
A1L1C7,PAN3_XENTR,PAN2-PAN3 deadenylation complex subunit pan3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3),pan3 TEgg127h19.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),787,GO:0000289; GO:0000932; GO:0003723; GO:0004672; GO:0005524; GO:0006397; GO:0010606; GO:0031251; GO:0046872; GO:0090503,Chordata
Q6P825,TOM40_XENTR,Mitochondrial import receptor subunit TOM40 homolog (Translocase of outer membrane 40 kDa subunit homolog),tomm40,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),336,GO:0005742; GO:0006626; GO:0008320; GO:0015288; GO:0030150; GO:0046930,Chordata
Q6GL04,TERA_XENTR,Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (p97) (Valosin-containing protein) (VCP),vcp,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),805,GO:0000785; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006281; GO:0006302; GO:0006914; GO:0006974; GO:0008289; GO:0010494; GO:0010498; GO:0016236; GO:0016567; GO:0016887; GO:0019985; GO:0030433; GO:0030970; GO:0031593; GO:0032510; GO:0034098; GO:0034605; GO:0035617; GO:0035861; GO:0036297; GO:0036503; GO:0042802; GO:0043161; GO:0044877; GO:0051228; GO:0061857; GO:0071712; GO:0097352; GO:1903843; GO:1905634,Chordata
Q0P4W9,FEZF1_XENTR,Fez family zinc finger protein 1,fezf1 fez,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),462,GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0007399; GO:0030154; GO:0046872,Chordata
Q5EBF1,5NTC_XENTR,Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (Cytosolic 5'-nucleotidase II),nt5c2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),568,GO:0000166; GO:0005737; GO:0008253; GO:0046040; GO:0046085; GO:0046872,Chordata
Q561P5,MCM5_XENTR,DNA replication licensing factor mcm5 (EC 3.6.4.12),mcm5 TEgg011k14.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),735,GO:0000727; GO:0000785; GO:0003678; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0006267; GO:0006268; GO:0006270; GO:0016787; GO:0030174; GO:0042555; GO:0071162,Chordata
Q6NVR9,ATAD3_XENTR,ATPase family AAA domain-containing protein 3,atad3,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),594,GO:0005524; GO:0005739; GO:0005743; GO:0007005; GO:0008270; GO:0016021; GO:0016887; GO:0042645,Chordata
Q63ZT8,AL1L1_XENTR,Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),aldh1l1 TNeu011l01.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),902,GO:0004029; GO:0005737; GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016742,Chordata
Q28F72,CCNC_XENTR,Cyclin-C,ccnc TGas144o20.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),283,GO:0005634; GO:0006357; GO:0016538; GO:0016592; GO:0045944; GO:0072015,Chordata
Q6P8G3,ACT3_XENTR,Actin; alpha sarcomeric/skeletal (Actin alpha 3),act3 TNeu071i12.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),377,GO:0005524; GO:0005737; GO:0005869,Chordata
Q6DET9,EF1B_XENTR,Elongation factor 1-beta (EF-1-beta),eef1b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),228,GO:0003746; GO:0005085; GO:0005829; GO:0005853; GO:0006414,Chordata
Q6GLC9,FMR1_XENTR,Synaptic functional regulator FMR1 (Fragile X mental retardation protein 1 homolog) (FMRP) (Protein FMR-1) (XtFmrp),fmr1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),590,GO:0000381; GO:0000775; GO:0001934; GO:0002092; GO:0002151; GO:0003682; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0005737; GO:0005844; GO:0006397; GO:0006974; GO:0007215; GO:0007399; GO:0008017; GO:0008266; GO:0008380; GO:0010369; GO:0010494; GO:0010629; GO:0014069; GO:0016020; GO:0017148; GO:0019897; GO:0030371; GO:0030424; GO:0030425; GO:0030426; GO:0032433; GO:0033129; GO:0033592; GO:0034046; GO:0034644; GO:0035064; GO:0035197; GO:0035198; GO:0035613; GO:0036464; GO:0042734; GO:0042803; GO:0042995; GO:0043005; GO:0043025; GO:0043197; GO:0043204; GO:0043488; GO:0043679; GO:0044326; GO:0045182; GO:0045202; GO:0045211; GO:0045727; GO:0045947; GO:0046928; GO:0046982; GO:0048027; GO:0048471; GO:0051028; GO:0051489; GO:0051491; GO:0060538; GO:0060964; GO:0060998; GO:0060999; GO:0070840; GO:0071598; GO:0072711; GO:0097386; GO:0098793; GO:0098794; GO:0098908; GO:1900453; GO:1901386; GO:1901800; GO:1902416; GO:1902737; GO:1990812; GO:1990825; GO:1990904; GO:2000301; GO:2000637; GO:2000766; GO:2001022,Chordata
Q6GUF4,FBP1L_XENTR,Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1),fnbp1l toca1 TEgg061f15.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),550,GO:0005856; GO:0005886; GO:0005938; GO:0006897; GO:0006914; GO:0007165; GO:0008289; GO:0031410,Chordata
B2GUE2,LRRF2_XENTR,Leucine-rich repeat flightless-interacting protein 2 (LRR FLII-interacting protein 2),lrrfip2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),404,GO:0006355; GO:0009950; GO:0016055; GO:0030275,Chordata
Q6P2Y2,DAW1_XENTR,Dynein assembly factor with WDR repeat domains 1 (Outer row dynein assembly protein 16 homolog) (WD repeat-containing protein 69),daw1 wdr69,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),415,GO:0005929,Chordata
Q0V9L3,CELF4_XENTR,CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4),celf4 brunol4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),424,GO:0000381; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0006376; GO:0048026; GO:1990904,Chordata
Q6DIH3,MCM2_XENTR,DNA replication licensing factor mcm2 (EC 3.6.4.12) (Minichromosome maintenance protein 2),mcm2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),884,GO:0000727; GO:0000785; GO:0003678; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0006267; GO:0006268; GO:0016787; GO:0030174; GO:0042555; GO:0046872; GO:0071162; GO:1902975; GO:1905775,Chordata
P62498,ERF1_XENTR,Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1),etf1 TGas126k19.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),437,GO:0000184; GO:0002184; GO:0005737; GO:0005829; GO:0006449; GO:0008079; GO:0016149; GO:0018444; GO:1990825,Chordata
Q08D69,MED16_XENTR,Mediator of RNA polymerase II transcription subunit 16 (Mediator complex subunit 16),med16,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),828,GO:0016592; GO:0045893,Chordata
Q5U263,KDM2A_XENTR,Lysine-specific demethylase 2A (EC 1.14.11.27) (F-box and leucine-rich repeat protein 11) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A),kdm2a fbxl11 jhdm1a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1146,GO:0003677; GO:0003712; GO:0005654; GO:0006357; GO:0006482; GO:0008270; GO:0032452; GO:0042752; GO:0048511; GO:0051864,Chordata
Q28EB4,NP1L1_XENTR,Nucleosome assembly protein 1-like 1,nap1l1 TNeu131c07.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),393,GO:0000785; GO:0001878; GO:0003682; GO:0005634; GO:0005737; GO:0006334; GO:0007283; GO:0030154; GO:0030332; GO:0042393; GO:0042802; GO:0045944; GO:0060215,Chordata
B7ZTW1,IF4A3_XENTR,Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3),eif4a3 ddx48,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),415,GO:0000184; GO:0000381; GO:0000398; GO:0003723; GO:0003724; GO:0003729; GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0006417; GO:0016607; GO:0051028; GO:0071006; GO:0071013,Chordata
B4F6V6,PBX1_XENTR,Pre-B-cell leukemia transcription factor 1 (Homeobox protein pbx1),pbx1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),347,GO:0000978; GO:0000981; GO:0001654; GO:0005634; GO:0005667; GO:0006357; GO:0007420; GO:0009887; GO:0014036; GO:0043565; GO:0045893; GO:0045944; GO:0048568; GO:0048666,Chordata
Q6DFT3,PP4R3_XENTR,Serine/threonine-protein phosphatase 4 regulatory subunit 3 (SMEK homolog 2),ppp4r3b smek2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),820,,Chordata
Q6DIX1,NDRG4_XENTR,Protein NDRG4,ndrg4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),405,GO:0005737; GO:0005829; GO:0007165; GO:0007420; GO:0070374,Chordata
B1H3E1,NLK2_XENTR,Serine/threonine-protein kinase NLK2 (EC 2.7.11.24) (Nemo-like kinase 2) (Nlk.2),nlk.2,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),454,GO:0000287; GO:0001707; GO:0004674; GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0007179; GO:0007399; GO:0008134; GO:0009952; GO:0016055; GO:0018105; GO:0018107; GO:0031398; GO:0031625; GO:0035556; GO:0042501; GO:0106310; GO:0106311,Chordata
Q08CZ0,UBE3B_XENTR,Ubiquitin-protein ligase E3B (EC 2.3.2.26) (HECT-type ubiquitin transferase E3B),ube3b,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1072,GO:0000209; GO:0006511; GO:0061630,Chordata
F6Z5C0,UBP15_XENTR,Ubiquitin carboxyl-terminal hydrolase 15 (EC 3.4.19.12) (Deubiquitinating enzyme 15) (Ubiquitin thioesterase 15) (Ubiquitin-specific-processing protease 15),usp15,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),982,GO:0004197; GO:0004843; GO:0005634; GO:0005737; GO:0006511; GO:0007179; GO:0016579; GO:0030509; GO:0035520; GO:0035616; GO:0060389,Chordata
Q6P647,KC1D_XENTR,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1),csnk1d TEgg020f01.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),415,GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005876; GO:0016055; GO:0018105; GO:0032436; GO:0042752; GO:0051225; GO:0090263; GO:0106310; GO:0106311; GO:1905515,Chordata
Q6GL42,TM39A_XENTR,Transmembrane protein 39A,tmem39a,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),488,GO:0005789; GO:0006914; GO:0016020; GO:0016021; GO:1901097; GO:1902902,Chordata
Q05B21,VGLU1_XENTR,Vesicular glutamate transporter 1 (VGluT1) (Solute carrier family 17 member 7),slc17a7 vglut1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),576,GO:0005313; GO:0005326; GO:0006814; GO:0006820; GO:0015293; GO:0016021; GO:0022857; GO:0030285; GO:0035249; GO:0043005; GO:0050803; GO:0060076; GO:0098700,Chordata
A4IGL7,PXDN_XENTR,Peroxidasin (EC 1.11.1.7),pxdn pxn,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1457,GO:0004601; GO:0005615; GO:0006979; GO:0020037; GO:0042744; GO:0046872,Chordata
Q6DIP5,EMAL4_XENTR,Echinoderm microtubule-associated protein-like 4 (EMAP-4),eml4,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),928,GO:0000226; GO:0005737; GO:0005815; GO:0005874; GO:0007080; GO:0008017; GO:0008608; GO:0030496; GO:0051301; GO:0072686,Chordata
Q6IR52,PBX2_XENLA,Pre-B-cell leukemia transcription factor 2 (Homeobox protein pbx2),pbx2,Xenopus laevis (African clawed frog),445,GO:0000981; GO:0003677; GO:0003682; GO:0005634; GO:0005667; GO:0045944,Chordata
Q4V860,TFCP2_XENLA,Transcription factor CP2,tfcp2,Xenopus laevis (African clawed frog),506,GO:0001228; GO:0003677; GO:0005634,Chordata
A4F5G6,RFOX2_XENLA,RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (RNA-binding motif protein 9) (RNA-binding protein 9),rbfox2 fox2 rbm9,Xenopus laevis (African clawed frog),411,GO:0003723; GO:0005634; GO:0005737; GO:0006397; GO:0008380; GO:0043484,Chordata
P50533,SMC2_XENLA,Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome assembly protein XCAP-E) (Chromosome-associated protein E),smc2 cape smc2l1,Xenopus laevis (African clawed frog),1203,GO:0005524; GO:0005634; GO:0005694; GO:0005829; GO:0007049; GO:0016887; GO:0030261; GO:0051301,Chordata
Q6AX33,MAST3_XENLA,Microtubule-associated serine/threonine-protein kinase 3 (EC 2.7.11.1),mast3,Xenopus laevis (African clawed frog),1482,GO:0000287; GO:0005524; GO:0106310; GO:0106311,Chordata
P50143,TCPG_XENLA,T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma),cct3 cctg,Xenopus laevis (African clawed frog),547,GO:0005524; GO:0005737; GO:0006457; GO:0016887; GO:0051082,Chordata
Q6GQL2,PP1B_XENLA,Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16),ppp1cb,Xenopus laevis (African clawed frog),327,GO:0005634; GO:0005737; GO:0005977; GO:0007049; GO:0030155; GO:0046872; GO:0050115; GO:0051301; GO:0072357; GO:0106306; GO:0106307,Chordata
P30883,TBB4_XENLA,Tubulin beta-4 chain,tubb4,Xenopus laevis (African clawed frog),445,GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017,Chordata
Q6AZT2,SPAST_XENLA,Spastin (EC 5.6.1.1),spast spg4,Xenopus laevis (African clawed frog),600,GO:0000281; GO:0001578; GO:0005524; GO:0005813; GO:0005819; GO:0005874; GO:0006888; GO:0007409; GO:0008017; GO:0008089; GO:0008568; GO:0010458; GO:0016021; GO:0016853; GO:0019896; GO:0030496; GO:0031117; GO:0031468; GO:0031965; GO:0032506; GO:0034214; GO:0043014; GO:0048471; GO:0048487; GO:0051013; GO:0051228; GO:0051260; GO:0090148; GO:1904115,Chordata
P02362,RS7_XENLA,40S ribosomal protein S7 (40S ribosomal protein S8),rps7 rps8,Xenopus laevis (African clawed frog),194,GO:0003735; GO:0005840; GO:0006412,Chordata
P28024,PSB4_XENLA,Proteasome subunit beta type-4 (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (Fragment),psmb4,Xenopus laevis (African clawed frog),242,GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0019774; GO:0051603,Chordata
O93477,SAHHB_XENLA,Adenosylhomocysteinase B (AdoHcyase B) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase B),ahcy-b ahcy2 sahh,Xenopus laevis (African clawed frog),433,GO:0004013; GO:0006730,Chordata
Q6DD44,XPR1_XENLA,Xenotropic and polytropic retrovirus receptor 1 homolog,xpr1,Xenopus laevis (African clawed frog),692,GO:0000822; GO:0015114; GO:0015562; GO:0016021; GO:0030643; GO:0031226; GO:0035435,Chordata
Q9DGN0,STAG2_XENLA,Cohesin subunit SA-2 (xSA-2) (SCC3 homolog 2) (Stromal antigen 2 homolog),stag2 sa2,Xenopus laevis (African clawed frog),1194,GO:0000775; GO:0005634; GO:0007062; GO:0008278; GO:0051301,Chordata
Q91575,TBB5_XENLA,Tubulin beta chain (Tubulin beta-5 chain),tubb tubb5,Xenopus laevis (African clawed frog),444,GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017,Chordata
Q6GLZ5,SEPT7_XENLA,Septin-7,septin7 sept7,Xenopus laevis (African clawed frog),425,GO:0000777; GO:0005525; GO:0005819; GO:0005930; GO:0007049; GO:0016476; GO:0030496; GO:0031105; GO:0032154; GO:0051301; GO:0060031; GO:0060271,Chordata
Q9W6C5,PDC6I_XENLA,Programmed cell death 6-interacting protein (Signal transduction protein Xp95),pdcd6ip,Xenopus laevis (African clawed frog),867,GO:0000281; GO:0005815; GO:0005829; GO:0005923; GO:0015031; GO:0042470; GO:0070062; GO:0090543,Chordata
Q7SYU0,RS8_XENLA,40S ribosomal protein S8,rps8,Xenopus laevis (African clawed frog),208,GO:0003735; GO:0005840; GO:0006412,Chordata
Q7ZYS1,RL19_XENLA,60S ribosomal protein L19,rpl19,Xenopus laevis (African clawed frog),197,GO:0003723; GO:0003735; GO:0006412; GO:0022625,Chordata
Q7ZT47,PSF1_XENLA,DNA replication complex GINS protein PSF1 (GINS complex subunit 1),gins1 Psf1 XELAEV_18028879mg,Xenopus laevis (African clawed frog),196,GO:0000811; GO:0003682; GO:0006260; GO:0071162,Chordata
A8E0R9,GRIP2_XENLA,Glutamate receptor-interacting protein 2 (xGRIP2) (xGRIP2.1),grip2 grip2.1,Xenopus laevis (African clawed frog),1083,GO:0005737; GO:0005938; GO:0007275; GO:0007281; GO:0008354; GO:0030159; GO:0032019; GO:0045495,Chordata
Q5XH39,MARH8_XENLA,E3 ubiquitin-protein ligase MARCHF8 (EC 2.3.2.27) (Membrane-associated RING finger protein 8) (Membrane-associated RING-CH protein VIII) (MARCH-VIII) (RING-type E3 ubiquitin transferase MARCHF8),marchf8 march8,Xenopus laevis (African clawed frog),264,GO:0002376; GO:0004842; GO:0005764; GO:0005765; GO:0005768; GO:0008270; GO:0016021; GO:0030659; GO:0031901,Chordata
Q6GP04,MON2_XENLA,Protein MON2 homolog,mon2,Xenopus laevis (African clawed frog),1721,GO:0015031,Chordata
Q9YH95,PAX5_XENLA,Paired box protein Pax-5 (XPax-5),pax5 pax-5,Xenopus laevis (African clawed frog),388,GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0007275,Chordata
O57682,PAX2B_XENLA,Paired box protein Pax-2-B (xPax-2b),pax2-b pax-2B,Xenopus laevis (African clawed frog),494,GO:0000122; GO:0003677; GO:0005634; GO:0007367; GO:0045944; GO:0048793,Chordata
P47830,RL27A_XENLA,60S ribosomal protein L27a (L22),rpl27a rpl22,Xenopus laevis (African clawed frog),148,GO:0003735; GO:0006412; GO:0015934,Chordata
Q7ZXH7,RAP1B_XENLA,Ras-related protein Rap-1b (EC 3.6.5.2),rap1b,Xenopus laevis (African clawed frog),184,GO:0003925; GO:0005525; GO:0005829; GO:0005886; GO:0030054; GO:0032486,Chordata
Q91880,SUH_XENLA,Suppressor of hairless protein homolog (X-Su(H)),rbpj rbpsuh suh,Xenopus laevis (African clawed frog),501,GO:0000978; GO:0001228; GO:0005634; GO:0005737; GO:0007221; GO:0007275; GO:0043565; GO:0061419,Chordata
Q6GPP0,WDR70_XENLA,WD repeat-containing protein 70,wdr70,Xenopus laevis (African clawed frog),622,,Chordata
B7ZSK1,NMDE1_XENLA,Glutamate receptor ionotropic; NMDA 2A (GluN2A) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A),grin2a,Xenopus laevis (African clawed frog),1451,GO:0004972; GO:0005887; GO:0010043; GO:0017146; GO:0022849; GO:0045211; GO:0046872; GO:0051290; GO:0097553,Chordata
Q8QGC4,PBX1_XENLA,Pre-B-cell leukemia transcription factor 1 (Xpbx1) (Homeobox protein pbx1) (Pre-B-cell leukemia transcription factor 1b) (Xpbx1b),pbx1 pbx1b,Xenopus laevis (African clawed frog),347,GO:0000981; GO:0005634; GO:0005667; GO:0007399; GO:0014036; GO:0030496; GO:0043565; GO:0045893; GO:0045944; GO:1904888,Chordata
Q91766,HNF4A_XENLA,Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1),hnf4a hnf4 nr2a1,Xenopus laevis (African clawed frog),464,GO:0003323; GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0042752; GO:0043565; GO:0045893; GO:0048511; GO:0050796; GO:0055088; GO:0070365,Chordata
Q6P6Z8,ODO1_XENLA,2-oxoglutarate dehydrogenase; mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase),ogdh,Xenopus laevis (African clawed frog),1021,GO:0004591; GO:0005634; GO:0005739; GO:0005759; GO:0006096; GO:0006099; GO:0006103; GO:0006104; GO:0030976; GO:0045252; GO:0046872; GO:0106077,Chordata
Q6GPD0,RHG32_XENLA,Rho GTPase-activating protein 32 (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS),arhgap32 rics,Xenopus laevis (African clawed frog),1940,GO:0005096; GO:0005737; GO:0005886; GO:0007165; GO:0014069; GO:0043547; GO:1901981,Chordata
O42469,TLE1_XENLA,Transducin-like enhancer protein 1 (Enhancer of split groucho-like protein 1) (ESG1),esg1 esg,Xenopus laevis (African clawed frog),767,GO:0005634; GO:0006355,Chordata
A7Y2W8,SC6A9_XENLA,Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (xGlyT1) (Solute carrier family 6 member 9),slc6a9 glyt1,Xenopus laevis (African clawed frog),633,GO:0005283; GO:0005887; GO:0006836,Chordata
